222,2
101,2
179,2
172,2
209,2
211,2
208,3
210,3
106,3
196,3
171,3
77,4
94,4
103,4
104,4
184,4
177,5
27,5
48,5
89,6
175,6
90,7
50,7
195,8
16,8
153,8
170,10
112,11
78,11
228,11
133,13
183,13
134,14
151,15
120,16
192,16
75,17
98,17
49,17
28,18
116,18
105,18
80,19
117,19
158,20
23,21
132,21
126,21
178,22
219,22
30,23
37,24
169,24
17,24
110,25
32,27
149,28
138,29
124,29
39,30
79,31
202,33
22,35
91,35
84,36
83,36
111,38
181,38
45,39
68,40
24,40
154,41
97,42
157,42
81,42
34,43
54,43
118,43
108,43
188,44
76,45
197,45
180,48
102,48
135,51
144,52
214,53
73,54
199,54
224,56
226,56
95,57
201,59
145,61
213,61
125,62
96,62
66,63
100,63
53,63
190,68
182,69
203,69
114,72
67,72
131,74
212,81
41,84
200,86
56,90
109,92
21,94
86,100
218,101
159,101
35,105
85,105
165,132
42,134
206,134
163,136
152,138
113,140
92,141
130,141
18,142
128,144
150,146
40,149
185,152
137,153
162,156
69,157
215,158
52,176
143,182
142,196
147,213
155,215
220,216
20,220
217,223
3,226
51,227
174,241
121,245
46,256
99,264
204,281
43,286
119,288
223,291
72,292
229,293
161,299
26,300
107,319
70,321
115,326
205,327
88,330
29,343
25,344
230,348
87,351
82,356
57,377
47,382
173,399
44,404
58,406
198,429
122,457
10,496
136,497
31,524
193,531
176,532
59,537
127,607
64,609
167,619
60,623
55,627
13,635
141,657
140,665
191,685
36,712
65,740
146,820
186,867
19,925
189,928
7,939
187,973
33,977
74,990
160,1031
61,1060
38,1063
129,1066
148,1157
9,1175
6,1223
227,1277
164,1321
156,1373
5,1461
4,1519
216,1611
11,1818
8,2406
123,2545
63,2557
166,2563
71,2875
139,3241
221,3248
194,3505
15,4319
12,4631
62,5959
2,7296
225,8745
14,8882
1,9456
